Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Attendance
1986;04 Jun 1986 - 16:00 ;Group E;Neza;Nezahualcoyotl ;Scotland;0;1;Denmark;18000
1986;04 Jun 1986 - 12:00 ;Group E;Estadio Corregidora;Queretaro ;Uruguay;1;1;Germany FR;30500
1986;05 Jun 1986 - 12:00 ;Group A;Cuauhtemoc;Puebla ;Italy;1;1;Argentina;32000
1986;05 Jun 1986 - 12:00 ;Group C;Nou Camp - Estadio Le�n;Leon ;France;1;1;Soviet Union;36540
1986;05 Jun 1986 - 16:00 ;Group A;Estadio Ol�mpico Universitario;Mexico City ;Korea Republic;1;1;Bulgaria;45000
1986;06 Jun 1986 - 12:00 ;Group C;Estadio Irapuato;Irapuato ;Hungary;2;0;Canada;13800
1986;06 Jun 1986 - 12:00 ;Group D;Jalisco;Guadalajara ;Brazil;1;0;Algeria;48000
1986;06 Jun 1986 - 16:00 ;Group F;Tecnologico;Monterrey ;England;0;0;Morocco;20200
1986;07 Jun 1986 - 12:00 ;Group D;Tres de Marzo;Guadalajara ;Northern Ireland;1;2;Spain;28000
1986;07 Jun 1986 - 12:00 ;Group B;Estadio Azteca;Mexico City ;Mexico;1;1;Paraguay;114600
1986;07 Jun 1986 - 16:00 ;Group F;Estadio Universitario;Monterrey ;Poland;1;0;Portugal;19915
1986;08 Jun 1986 - 12:00 ;Group B;Bombonera - Estadio Nemesio Diez;Toluca ;Iraq;1;2;Belgium;20000
1986;08 Jun 1986 - 16:00 ;Group E;Neza;Nezahualcoyotl ;Denmark;6;1;Uruguay;26500
1986;08 Jun 1986 - 12:00 ;Group E;Estadio Corregidora;Queretaro ;Germany FR;2;1;Scotland;30000
1986;09 Jun 1986 - 12:00 ;Group C;Nou Camp - Estadio Le�n;Leon ;Hungary;0;3;France;31420
1986;09 Jun 1986 - 12:00 ;Group C;Estadio Irapuato;Irapuato ;Soviet Union;2;0;Canada;14200
1986;10 Jun 1986 - 12:00 ;Group A;Cuauhtemoc;Puebla ;Korea Republic;2;3;Italy;20000
1986;10 Jun 1986 - 12:00 ;Group A;Estadio Ol�mpico Universitario;Mexico City ;Argentina;2;0;Bulgaria;65000
1986;11 Jun 1986 - 12:00 ;Group B;Bombonera - Estadio Nemesio Diez;Toluca ;Paraguay;2;2;Belgium;16000
1986;11 Jun 1986 - 12:00 ;Group B;Estadio Azteca;Mexico City ;Iraq;0;1;Mexico;103763
1986;11 Jun 1986 - 16:00 ;Group F;Tres de Marzo;Guadalajara ;Portugal;1;3;Morocco;28000
1986;11 Jun 1986 - 16:00 ;Group F;Tecnologico;Monterrey ;England;3;0;Poland;22700
1986;12 Jun 1986 - 12:00 ;Group D;Jalisco;Guadalajara ;Northern Ireland;0;3;Brazil;51000
1986;12 Jun 1986 - 12:00 ;Group D;Tecnologico;Monterrey ;Algeria;0;3;Spain;23980
1986;13 Jun 1986 - 12:00 ;Group E;Neza;Nezahualcoyotl ;Scotland;0;0;Uruguay;20000
1986;13 Jun 1986 - 12:00 ;Group E;Estadio Corregidora;Queretaro ;Denmark;2;0;Germany FR;36000
1986;15 Jun 1986 - 16:00 ;Round of 16;Nou Camp - Estadio Le�n;Leon ;Soviet Union;3;4;Belgium;32277
1986;15 Jun 1986 - 12:00 ;Round of 16;Estadio Azteca;Mexico City ;Mexico;2;0;Bulgaria;114580
1986;16 Jun 1986 - 16:00 ;Round of 16;Cuauhtemoc;Puebla ;Argentina;1;0;Uruguay;26000
1986;16 Jun 1986 - 12:00 ;Round of 16;Jalisco;Guadalajara ;Brazil;4;0;Poland;45000
1986;17 Jun 1986 - 12:00 ;Round of 16;Estadio Ol�mpico Universitario;Mexico City ;Italy;0;2;France;70000
1986;17 Jun 1986 - 16:00 ;Round of 16;Estadio Universitario;Monterrey ;Morocco;0;1;Germany FR;19800
1986;18 Jun 1986 - 12:00 ;Round of 16;Estadio Azteca;Mexico City ;England;3;0;Paraguay;98728
1986;18 Jun 1986 - 16:00 ;Round of 16;Estadio Corregidora;Queretaro ;Denmark;1;5;Spain;38500
1986;21 Jun 1986 - 12:00 ;Quarter-finals;Jalisco;Guadalajara ;Brazil;1;1;France;65000
1986;21 Jun 1986 - 16:00 ;Quarter-finals;Estadio Universitario;Monterrey ;Germany FR;0;0;Mexico;41700
1986;22 Jun 1986 - 16:00 ;Quarter-finals;Cuauhtemoc;Puebla ;Spain;1;1;Belgium;45000
1986;22 Jun 1986 - 12:00 ;Quarter-finals;Estadio Azteca;Mexico City ;Argentina;2;1;England;114580
1986;25 Jun 1986 - 12:00 ;Semi-finals;Jalisco;Guadalajara ;France;0;2;Germany FR;45000
1986;25 Jun 1986 - 16:00 ;Semi-finals;Estadio Azteca;Mexico City ;Argentina;2;0;Belgium;114500
1986;28 Jun 1986 - 12:00 ;Match for third place;Cuauhtemoc;Puebla ;France;4;2;Belgium;21000
1986;29 Jun 1986 - 12:00 ;Final;Estadio Azteca;Mexico City ;Argentina;3;2;Germany FR;114600
1990;08 Jun 1990 - 18:00 ;Group B;Giuseppe Meazza;Milan ;Argentina;0;1;Cameroon;73780
1990;09 Jun 1990 - 17:00 ;Group B;Stadio San Nicola;Bari ;Soviet Union;0;2;Romania;42907
1990;09 Jun 1990 - 17:00 ;Group D;Renato Dall Ara;Bologna ;"rn"">United Arab Emirates";0;2;Colombia;30791
1990;09 Jun 1990 - 21:00 ;Group A;Stadio Olimpico;Rome ;Italy;1;0;Austria;73303
1990;10 Jun 1990 - 17:00 ;Group A;Comunale;Florence ;USA;1;5;Czechoslovakia;33266
1990;10 Jun 1990 - 21:00 ;Group C;Stadio delle Alpi;Turin ;Brazil;2;1;Sweden;62628
1990;10 Jun 1990 - 21:00 ;Group D;Giuseppe Meazza;Milan ;Germany FR;4;1;Yugoslavia;74765
1990;11 Jun 1990 - 17:00 ;Group C;Luigi Ferraris;Genoa ;Costa Rica;1;0;Scotland;30867
1990;11 Jun 1990 - 21:00 ;Group F;Sant Elia;Cagliari ;England;1;1;"rn"">Republic of Ireland";35238
1990;12 Jun 1990 - 17:00 ;Group E;Marc Antonio Bentegodi;Verona ;Belgium;2;0;Korea Republic;32790
1990;12 Jun 1990 - 21:00 ;Group F;Della Favorita;Palermo ;Netherlands;1;1;Egypt;33288
1990;13 Jun 1990 - 17:00 ;Group E;Dacia Arena;Udine ;Uruguay;0;0;Spain;35713
1990;13 Jun 1990 - 21:00 ;Group B;San Paolo;Naples ;Argentina;2;0;Soviet Union;55759
1990;14 Jun 1990 - 17:00 ;Group B;Stadio San Nicola;Bari ;Cameroon;2;1;Romania;38687
1990;14 Jun 1990 - 17:00 ;Group D;Renato Dall Ara;Bologna ;Yugoslavia;1;0;Colombia;32257
1990;14 Jun 1990 - 21:00 ;Group A;Stadio Olimpico;Rome ;Italy;1;0;USA;73423
1990;15 Jun 1990 - 17:00 ;Group A;Comunale;Florence ;Austria;0;1;Czechoslovakia;38962
1990;15 Jun 1990 - 21:00 ;Group D;Giuseppe Meazza;Milan ;Germany FR;5;1;"rn"">United Arab Emirates";71169
1990;16 Jun 1990 - 17:00 ;Group C;Stadio delle Alpi;Turin ;Brazil;1;0;Costa Rica;58007
1990;16 Jun 1990 - 21:00 ;Group C;Luigi Ferraris;Genoa ;Sweden;1;2;Scotland;31823
1990;16 Jun 1990 - 21:00 ;Group F;Sant Elia;Cagliari ;England;0;0;Netherlands;35267
1990;17 Jun 1990 - 17:00 ;Group F;Della Favorita;Palermo ;"rn"">Republic of Ireland";0;0;Egypt;33288
1990;17 Jun 1990 - 21:00 ;Group E;Dacia Arena;Udine ;Korea Republic;1;3;Spain;32733
1990;17 Jun 1990 - 21:00 ;Group E;Marc Antonio Bentegodi;Verona ;Belgium;3;1;Uruguay;33759
1990;18 Jun 1990 - 21:00 ;Group B;San Paolo;Naples ;Argentina;1;1;Romania;52733
1990;18 Jun 1990 - 21:00 ;Group B;Stadio San Nicola;Bari ;Cameroon;0;4;Soviet Union;37307
1990;19 Jun 1990 - 17:00 ;Group D;Giuseppe Meazza;Milan ;Germany FR;1;1;Colombia;72510
1990;19 Jun 1990 - 17:00 ;Group D;Renato Dall Ara;Bologna ;Yugoslavia;4;1;"rn"">United Arab Emirates";27833
1990;19 Jun 1990 - 21:00 ;Group A;Stadio Olimpico;Rome ;Italy;2;0;Czechoslovakia;73303
1990;19 Jun 1990 - 21:00 ;Group A;Comunale;Florence ;Austria;2;1;USA;34857
1990;20 Jun 1990 - 21:00 ;Group C;Stadio delle Alpi;Turin ;Brazil;1;0;Scotland;62502
1990;20 Jun 1990 - 21:00 ;Group C;Luigi Ferraris;Genoa ;Sweden;1;2;Costa Rica;30223
1990;21 Jun 1990 - 17:00 ;Group E;Friuli;Udine ;Korea Republic;0;1;Uruguay;29039
1990;21 Jun 1990 - 17:00 ;Group E;Marc Antonio Bentegodi;Verona ;Belgium;1;2;Spain;35950
1990;21 Jun 1990 - 21:00 ;Group F;Della Favorita;Palermo ;"rn"">Republic of Ireland";1;1;Netherlands;33288
1990;21 Jun 1990 - 21:00 ;Group F;Sant Elia;Cagliari ;England;1;0;Egypt;34959
1990;23 Jun 1990 - 17:00 ;Round of 16;San Paolo;Naples ;Cameroon;2;1;Colombia;50026
1990;23 Jun 1990 - 21:00 ;Round of 16;Stadio San Nicola;Bari ;Czechoslovakia;4;1;Costa Rica;47673
1990;24 Jun 1990 - 17:00 ;Round of 16;Stadio delle Alpi;Turin ;Brazil;0;1;Argentina;61381
1990;24 Jun 1990 - 21:00 ;Round of 16;Giuseppe Meazza;Milan ;Germany FR;2;1;Netherlands;74559
1990;25 Jun 1990 - 17:00 ;Round of 16;Luigi Ferraris;Genoa ;"rn"">Republic of Ireland";0;0;Romania;31818
1990;25 Jun 1990 - 21:00 ;Round of 16;Stadio Olimpico;Rome ;Italy;2;0;Uruguay;73303
1990;26 Jun 1990 - 17:00 ;Round of 16;Marc Antonio Bentegodi;Verona ;Spain;1;2;Yugoslavia;35500
1990;26 Jun 1990 - 21:00 ;Round of 16;Renato Dall Ara;Bologna ;England;1;0;Belgium;34520
1990;30 Jun 1990 - 17:00 ;Quarter-finals;Comunale;Florence ;Yugoslavia;0;0;Argentina;38971
1990;30 Jun 1990 - 21:00 ;Quarter-finals;Stadio Olimpico;Rome ;Italy;1;0;"rn"">Republic of Ireland";73303
1990;01 Jul 1990 - 17:00 ;Quarter-finals;Giuseppe Meazza;Milan ;Germany FR;1;0;Czechoslovakia;73347
1990;01 Jul 1990 - 21:00 ;Quarter-finals;San Paolo;Naples ;England;3;2;Cameroon;55205
1990;03 Jul 1990 - 20:00 ;Semi-finals;San Paolo;Naples ;Italy;1;1;Argentina;59978
1990;04 Jul 1990 - 20:00 ;Semi-finals;Stadio delle Alpi;Turin ;Germany FR;1;1;England;62628
1990;07 Jul 1990 - 20:00 ;Match for third place;Stadio San Nicola;Bari ;Italy;2;1;England;51426
1990;08 Jul 1990 - 20:00 ;Final;Stadio Olimpico;Rome ;Germany FR;1;0;Argentina;73603
1994;17 Jun 1994 - 19:30 ;Group C;Cotton Bowl;Dallas ;Spain;2;2;Korea Republic;56247
1994;17 Jun 1994 - 15:00 ;Group C;Soldier Field;Chicago ;Germany;1;0;Bolivia;63117
1994;18 Jun 1994 - 11:30 ;Group A;Pontiac Silverdome;Detroit ;USA;1;1;Switzerland;73425
1994;18 Jun 1994 - 16:00 ;Group E;Giants Stadium;New York/New Jersey ;Italy;0;1;"rn"">Republic of Ireland";75338
1994;18 Jun 1994 - 19:30 ;Group A;Rose Bowl;Los Angeles ;Colombia;1;3;Romania;91856
1994;19 Jun 1994 - 12:30 ;Group F;Citrus Bowl;Orlando ;Belgium;1;0;Morocco;61219
1994;19 Jun 1994 - 16:00 ;Group E;RFK Stadium;Washington Dc ;Norway;1;0;Mexico;52395
1994;19 Jun 1994 - 19:30 ;Group B;Rose Bowl;Los Angeles ;Cameroon;2;2;Sweden;93194
1994;20 Jun 1994 - 19:30 ;Group F;RFK Stadium;Washington Dc ;Netherlands;2;1;Saudi Arabia;50535
1994;20 Jun 1994 - 16:00 ;Group B;Stanford Stadium;San Francisco ;Brazil;2;0;Russia;81061
1994;21 Jun 1994 - 12:30 ;Group D;Foxboro Stadium;Boston ;Argentina;4;0;Greece;54456
1994;21 Jun 1994 - 19:30 ;Group D;Cotton Bowl;Dallas ;Nigeria;3;0;Bulgaria;44132
1994;21 Jun 1994 - 16:00 ;Group C;Soldier Field;Chicago ;Germany;1;1;Spain;63113
1994;22 Jun 1994 - 16:00 ;Group A;Pontiac Silverdome;Detroit ;Romania;1;4;Switzerland;61428
1994;22 Jun 1994 - 19:30 ;Group A;Rose Bowl;Los Angeles ;USA;2;1;Colombia;93869
1994;23 Jun 1994 - 16:00 ;Group E;Giants Stadium;New York/New Jersey ;Italy;1;0;Norway;74624
1994;23 Jun 1994 - 19:30 ;Group C;Foxboro Stadium;Boston ;Korea Republic;0;0;Bolivia;54453
1994;24 Jun 1994 - 12:30 ;Group E;Citrus Bowl;Orlando ;Mexico;2;1;"rn"">Republic of Ireland";60790
1994;24 Jun 1994 - 19:30 ;Group B;Pontiac Silverdome;Detroit ;Sweden;3;1;Russia;71528
1994;24 Jun 1994 - 16:00 ;Group B;Stanford Stadium;San Francisco ;Brazil;3;0;Cameroon;83401
1994;25 Jun 1994 - 12:30 ;Group F;Citrus Bowl;Orlando ;Belgium;1;0;Netherlands;62387
1994;25 Jun 1994 - 12:30 ;Group F;Giants Stadium;New York/New Jersey ;Saudi Arabia;2;1;Morocco;76322
1994;25 Jun 1994 - 16:00 ;Group D;Foxboro Stadium;Boston ;Argentina;2;1;Nigeria;54453
1994;26 Jun 1994 - 12:30 ;Group D;Soldier Field;Chicago ;Bulgaria;4;0;Greece;63160
1994;26 Jun 1994 - 16:00 ;Group A;Rose Bowl;Los Angeles ;USA;0;1;Romania;93869
1994;26 Jun 1994 - 16:00 ;Group A;Stanford Stadium;San Francisco ;Switzerland;0;2;Colombia;83401
1994;27 Jun 1994 - 16:00 ;Group C;Cotton Bowl;Dallas ;Germany;3;2;Korea Republic;63998
1994;27 Jun 1994 - 16:00 ;Group C;Soldier Field;Chicago ;Bolivia;1;3;Spain;63089
1994;28 Jun 1994 - 12:30 ;Group E;Giants Stadium;New York/New Jersey ;"rn"">Republic of Ireland";0;0;Norway;72404
1994;28 Jun 1994 - 16:00 ;Group B;Pontiac Silverdome;Detroit ;Brazil;1;1;Sweden;77217
1994;28 Jun 1994 - 12:30 ;Group E;RFK Stadium;Washington Dc ;Italy;1;1;Mexico;52535
1994;28 Jun 1994 - 16:00 ;Group B;Stanford Stadium;San Francisco ;Russia;6;1;Cameroon;74914
1994;29 Jun 1994 - 12:30 ;Group F;Citrus Bowl;Orlando ;Morocco;1;2;Netherlands;60578
1994;29 Jun 1994 - 12:30 ;Group F;RFK Stadium;Washington Dc ;Belgium;0;1;Saudi Arabia;52959
1994;30 Jun 1994 - 19:30 ;Group D;Foxboro Stadium;Boston ;Greece;0;2;Nigeria;53001
1994;30 Jun 1994 - 19:30 ;Group D;Cotton Bowl;Dallas ;Argentina;0;2;Bulgaria;63998
1994;02 Jul 1994 - 12:00 ;Round of 16;Soldier Field;Chicago ;Germany;3;2;Belgium;60246
1994;02 Jul 1994 - 16:30 ;Round of 16;RFK Stadium;Washington Dc ;Spain;3;0;Switzerland;53121
1994;03 Jul 1994 - 12:00 ;Round of 16;Cotton Bowl;Dallas ;Saudi Arabia;1;3;Sweden;60277
1994;03 Jul 1994 - 13:30 ;Round of 16;Rose Bowl;Los Angeles ;Romania;3;2;Argentina;90469
1994;04 Jul 1994 - 12:00 ;Round of 16;Citrus Bowl;Orlando ;Netherlands;2;0;"rn"">Republic of Ireland";61355
1994;04 Jul 1994 - 12:30 ;Round of 16;Stanford Stadium;San Francisco ;Brazil;1;0;USA;84147
1994;05 Jul 1994 - 13:00 ;Round of 16;Foxboro Stadium;Boston ;Nigeria;1;2;Italy;54367
1994;05 Jul 1994 - 16:30 ;Round of 16;Giants Stadium;New York/New Jersey ;Mexico;1;1;Bulgaria;71030
1994;09 Jul 1994 - 12:00 ;Quarter-finals;Foxboro Stadium;Boston ;Italy;2;1;Spain;53400
1994;09 Jul 1994 - 14:30 ;Quarter-finals;Cotton Bowl;Dallas ;Netherlands;2;3;Brazil;63500
1994;10 Jul 1994 - 12:00 ;Quarter-finals;Giants Stadium;New York/New Jersey ;Bulgaria;2;1;Germany;72000
1994;10 Jul 1994 - 12:30 ;Quarter-finals;Stanford Stadium;San Francisco ;Romania;2;2;Sweden;83500
1994;13 Jul 1994 - 16:00 ;Semi-finals;Giants Stadium;New York/New Jersey ;Bulgaria;1;2;Italy;74110
1994;13 Jul 1994 - 16:30 ;Semi-finals;Rose Bowl;Los Angeles ;Sweden;0;1;Brazil;91856
1994;16 Jul 1994 - 12:30 ;Match for third place;Rose Bowl;Los Angeles ;Sweden;4;0;Bulgaria;91500
1994;17 Jul 1994 - 12:30 ;Final;Rose Bowl;Los Angeles ;Brazil;0;0;Italy;94194
1998;10 Jun 1998 - 17:30 ;Group A;Stade de France;Saint-Denis ;Brazil;2;1;Scotland;80000
1998;10 Jun 1998 - 21:00 ;Group A;La Mosson;Montpellier ;Morocco;2;2;Norway;29800
1998;11 Jun 1998 - 17:30 ;Group B;Stade du Parc Lescure;Bordeaux ;Italy;2;2;Chile;31800
1998;11 Jun 1998 - 21:00 ;Group B;Stade Municipal;Toulouse ;Cameroon;1;1;Austria;33500
1998;12 Jun 1998 - 14:30 ;Group D;La Mosson;Montpellier ;Paraguay;0;0;Bulgaria;29800
1998;12 Jun 1998 - 17:30 ;Group C;Stade Felix Bollaert;Lens ;Saudi Arabia;0;1;Denmark;38100
1998;12 Jun 1998 - 21:00 ;Group C;Stade V�lodrome;Marseilles ;France;3;0;South Africa;55000
1998;13 Jun 1998 - 14:30 ;Group D;La Beaujoire;Nantes ;Spain;2;3;Nigeria;35500
1998;13 Jun 1998 - 17:30 ;Group E;Stade de Gerland;Lyon ;Korea Republic;1;3;Mexico;39100
1998;13 Jun 1998 - 21:00 ;Group E;Stade de France;Saint-Denis ;Netherlands;0;0;Belgium;77000
1998;14 Jun 1998 - 14:30 ;Group H;Stade Municipal;Toulouse ;Argentina;1;0;Japan;33500
1998;14 Jun 1998 - 17:30 ;Group F;Stade Geoffroy Guichard;Saint-Etienne ;Yugoslavia;1;0;Iran;30600
1998;14 Jun 1998 - 21:00 ;Group H;Stade Felix Bollaert;Lens ;Jamaica;1;3;Croatia;38100
1998;15 Jun 1998 - 14:30 ;Group G;Stade V�lodrome;Marseilles ;England;2;0;Tunisia;55000
1998;15 Jun 1998 - 17:30 ;Group G;Stade de Gerland;Lyon ;Romania;1;0;Colombia;39100
1998;15 Jun 1998 - 21:00 ;Group F;Parc des Princes;Paris ;Germany;2;0;USA;45500
1998;16 Jun 1998 - 17:30 ;Group A;Stade du Parc Lescure;Bordeaux ;Scotland;1;1;Norway;31800
1998;16 Jun 1998 - 21:00 ;Group A;La Beaujoire;Nantes ;Brazil;3;0;Morocco;35500
1998;17 Jun 1998 - 17:30 ;Group B;Stade Geoffroy Guichard;Saint-Etienne ;Chile;1;1;Austria;30600
1998;17 Jun 1998 - 21:00 ;Group B;La Mosson;Montpellier ;Italy;3;0;Cameroon;29800
1998;18 Jun 1998 - 17:30 ;Group C;Stade Municipal;Toulouse ;South Africa;1;1;Denmark;33500
1998;18 Jun 1998 - 21:00 ;Group C;Stade de France;Saint-Denis ;France;4;0;Saudi Arabia;80000
1998;19 Jun 1998 - 17:30 ;Group D;Parc des Princes;Paris ;Nigeria;1;0;Bulgaria;45500
1998;19 Jun 1998 - 21:00 ;Group D;Stade Geoffroy Guichard;Saint-Etienne ;Spain;0;0;Paraguay;30600
1998;20 Jun 1998 - 14:30 ;Group H;La Beaujoire;Nantes ;Japan;0;1;Croatia;35500
1998;20 Jun 1998 - 17:30 ;Group E;Stade du Parc Lescure;Bordeaux ;Belgium;2;2;Mexico;31800
1998;20 Jun 1998 - 21:00 ;Group E;Stade V�lodrome;Marseilles ;Netherlands;5;0;Korea Republic;55000
1998;21 Jun 1998 - 14:30 ;Group F;Stade Felix Bollaert;Lens ;Germany;2;2;Yugoslavia;38100
1998;21 Jun 1998 - 17:30 ;Group H;Parc des Princes;Paris ;Argentina;5;0;Jamaica;45500
1998;21 Jun 1998 - 21:00 ;Group F;Stade de Gerland;Lyon ;USA;1;2;Iran;39100
1998;22 Jun 1998 - 17:30 ;Group G;La Mosson;Montpellier ;Colombia;1;0;Tunisia;29800
1998;22 Jun 1998 - 21:00 ;Group G;Stade Municipal;Toulouse ;Romania;2;1;England;33500
1998;23 Jun 1998 - 16:00 ;Group B;Stade de France;Saint-Denis ;Italy;2;1;Austria;80000
1998;23 Jun 1998 - 16:00 ;Group B;La Beaujoire;Nantes ;Chile;1;1;Cameroon;35500
1998;23 Jun 1998 - 21:00 ;Group A;Stade Geoffroy Guichard;Saint-Etienne ;Scotland;0;3;Morocco;30600
1998;23 Jun 1998 - 21:00 ;Group A;Stade V�lodrome;Marseilles ;Brazil;1;2;Norway;55000
1998;24 Jun 1998 - 16:00 ;Group C;Stade de Gerland;Lyon ;France;2;1;Denmark;39100
1998;24 Jun 1998 - 16:00 ;Group C;Stade du Parc Lescure;Bordeaux ;South Africa;2;2;Saudi Arabia;31800
1998;24 Jun 1998 - 21:00 ;Group D;Stade Felix Bollaert;Lens ;Spain;6;1;Bulgaria;38100
1998;24 Jun 1998 - 21:00 ;Group D;Stade Municipal;Toulouse ;Nigeria;1;3;Paraguay;33500
1998;25 Jun 1998 - 16:00 ;Group E;Parc des Princes;Paris ;Belgium;1;1;Korea Republic;45500
1998;25 Jun 1998 - 16:00 ;Group E;Stade Geoffroy Guichard;Saint-Etienne ;Netherlands;2;2;Mexico;30600
