Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Attendance
2010;19 Jun 2010 - 20:30 ;Group E;Loftus Versfeld Stadium;Tshwane/Pretoria ;Cameroon;1;2;Denmark;38074
2010;20 Jun 2010 - 13:30 ;Group F;Free State Stadium;Mangaung/Bloemfontein ;Slovakia;0;2;Paraguay;26643
2010;20 Jun 2010 - 16:00 ;Group F;Mbombela Stadium;Nelspruit ;Italy;1;1;New Zealand;38229
2010;20 Jun 2010 - 20:30 ;Group G;Soccer City Stadium;Johannesburg ;Brazil;3;1;C�te d'Ivoire;84455
2010;21 Jun 2010 - 13:30 ;Group G;Cape Town Stadium;Cape Town ;Portugal;7;0;Korea DPR;63644
2010;21 Jun 2010 - 16:00 ;Group H;Port Elizabeth Stadium;Nelson Mandela Bay/Port Elizabeth ;Chile;1;0;Switzerland;34872
2010;21 Jun 2010 - 20:30 ;Group H;Ellis Park Stadium;Johannesburg ;Spain;2;0;Honduras;54386
2010;22 Jun 2010 - 16:00 ;Group A;Royal Bafokeng Sports Palace;Phokeng ;Mexico;0;1;Uruguay;33425
2010;22 Jun 2010 - 16:00 ;Group A;Free State Stadium;Mangaung/Bloemfontein ;France;1;2;South Africa;39415
2010;22 Jun 2010 - 20:30 ;Group B;Durban Stadium;Durban ;Nigeria;2;2;Korea Republic;61874
2010;22 Jun 2010 - 20:30 ;Group B;Peter Mokaba Stadium;Polokwane ;Greece;0;2;Argentina;38891
2010;23 Jun 2010 - 16:00 ;Group C;Port Elizabeth Stadium;Nelson Mandela Bay/Port Elizabeth ;Slovenia;0;1;England;36893
2010;23 Jun 2010 - 16:00 ;Group C;Loftus Versfeld Stadium;Tshwane/Pretoria ;USA;1;0;Algeria;35827
2010;23 Jun 2010 - 20:30 ;Group D;Soccer City Stadium;Johannesburg ;Ghana;0;1;Germany;83391
2010;23 Jun 2010 - 20:30 ;Group D;Mbombela Stadium;Nelspruit ;Australia;2;1;Serbia;37836
2010;24 Jun 2010 - 16:00 ;Group F;Ellis Park Stadium;Johannesburg ;Slovakia;3;2;Italy;53412
2010;24 Jun 2010 - 16:00 ;Group F;Peter Mokaba Stadium;Polokwane ;Paraguay;0;0;New Zealand;34850
2010;24 Jun 2010 - 20:30 ;Group E;Royal Bafokeng Sports Palace;Phokeng ;Denmark;1;3;Japan;27967
2010;24 Jun 2010 - 20:30 ;Group E;Cape Town Stadium;Cape Town ;Cameroon;1;2;Netherlands;63093
2010;25 Jun 2010 - 16:00 ;Group G;Durban Stadium;Durban ;Portugal;0;0;Brazil;62712
2010;25 Jun 2010 - 16:00 ;Group G;Mbombela Stadium;Nelspruit ;Korea DPR;0;3;C�te d'Ivoire;34763
2010;25 Jun 2010 - 20:30 ;Group H;Loftus Versfeld Stadium;Tshwane/Pretoria ;Chile;1;2;Spain;41958
2010;25 Jun 2010 - 20:30 ;Group H;Free State Stadium;Mangaung/Bloemfontein ;Switzerland;0;0;Honduras;28042
2010;26 Jun 2010 - 16:00 ;Round of 16;Port Elizabeth Stadium;Nelson Mandela Bay/Port Elizabeth ;Uruguay;2;1;Korea Republic;30597
2010;26 Jun 2010 - 20:30 ;Round of 16;Royal Bafokeng Sports Palace;Phokeng ;USA;1;2;Ghana;34976
2010;27 Jun 2010 - 16:00 ;Round of 16;Free State Stadium;Mangaung/Bloemfontein ;Germany;4;1;England;40510
2010;27 Jun 2010 - 20:30 ;Round of 16;Soccer City Stadium;Johannesburg ;Argentina;3;1;Mexico;84377
2010;28 Jun 2010 - 16:00 ;Round of 16;Durban Stadium;Durban ;Netherlands;2;1;Slovakia;61962
2010;28 Jun 2010 - 20:30 ;Round of 16;Ellis Park Stadium;Johannesburg ;Brazil;3;0;Chile;54096
2010;29 Jun 2010 - 16:00 ;Round of 16;Loftus Versfeld Stadium;Tshwane/Pretoria ;Paraguay;0;0;Japan;36742
2010;29 Jun 2010 - 20:30 ;Round of 16;Cape Town Stadium;Cape Town ;Spain;1;0;Portugal;62955
2010;02 Jul 2010 - 16:00 ;Quarter-finals;Port Elizabeth Stadium;Nelson Mandela Bay/Port Elizabeth ;Netherlands;2;1;Brazil;40186
2010;02 Jul 2010 - 20:30 ;Quarter-finals;Soccer City Stadium;Johannesburg ;Uruguay;1;1;Ghana;84017
2010;03 Jul 2010 - 16:00 ;Quarter-finals;Cape Town Stadium;Cape Town ;Argentina;0;4;Germany;64100
2010;03 Jul 2010 - 20:30 ;Quarter-finals;Ellis Park Stadium;Johannesburg ;Paraguay;0;1;Spain;55359
2010;06 Jul 2010 - 20:30 ;Semi-finals;Cape Town Stadium;Cape Town ;Uruguay;2;3;Netherlands;62479
2010;07 Jul 2010 - 20:30 ;Semi-finals;Durban Stadium;Durban ;Germany;0;1;Spain;60960
2010;10 Jul 2010 - 20:30 ;Match for third place;Port Elizabeth Stadium;Nelson Mandela Bay/Port Elizabeth ;Uruguay;2;3;Germany;36254
2010;11 Jul 2010 - 20:30 ;Final;Soccer City Stadium;Johannesburg ;Netherlands;0;1;Spain;84490
2014;12 Jun 2014 - 17:00 ;Group A;Arena de Sao Paulo;Sao Paulo ;Brazil;3;1;Croatia;62103
2014;13 Jun 2014 - 13:00 ;Group A;Estadio das Dunas;Natal ;Mexico;1;0;Cameroon;39216
2014;13 Jun 2014 - 16:00 ;Group B;Arena Fonte Nova;Salvador ;Spain;1;5;Netherlands;48173
2014;13 Jun 2014 - 18:00 ;Group B;Arena Pantanal;Cuiaba ;Chile;3;1;Australia;40275
2014;14 Jun 2014 - 13:00 ;Group C;Estadio Mineirao;Belo Horizonte ;Colombia;3;0;Greece;57174
2014;14 Jun 2014 - 16:00 ;Group D;Estadio Castelao;Fortaleza ;Uruguay;1;3;Costa Rica;58679
2014;14 Jun 2014 - 18:00 ;Group D;Arena Amazonia;Manaus ;England;1;2;Italy;39800
2014;14 Jun 2014 - 22:00 ;Group C;Arena Pernambuco;Recife ;C�te d'Ivoire;2;1;Japan;40267
2014;15 Jun 2014 - 13:00 ;Group E;Estadio Nacional;Brasilia ;Switzerland;2;1;Ecuador;68351
2014;15 Jun 2014 - 16:00 ;Group E;Estadio Beira-Rio;Porto Alegre ;France;3;0;Honduras;43012
2014;15 Jun 2014 - 19:00 ;Group F;Estadio do Maracana;Rio De Janeiro ;Argentina;2;1;"rn"">Bosnia and Herzegovina";74738
2014;16 Jun 2014 - 13:00 ;Group G;Arena Fonte Nova;Salvador ;Germany;4;0;Portugal;51081
2014;16 Jun 2014 - 16:00 ;Group F;Arena da Baixada;Curitiba ;IR Iran;0;0;Nigeria;39081
2014;16 Jun 2014 - 19:00 ;Group G;Estadio das Dunas;Natal ;Ghana;1;2;USA;39760
2014;17 Jun 2014 - 13:00 ;Group H;Estadio Mineirao;Belo Horizonte ;Belgium;2;1;Algeria;56800
2014;17 Jun 2014 - 16:00 ;Group A;Estadio Castelao;Fortaleza ;Brazil;0;0;Mexico;60342
2014;17 Jun 2014 - 18:00 ;Group H;Arena Pantanal;Cuiaba ;Russia;1;1;Korea Republic;37603
2014;18 Jun 2014 - 13:00 ;Group B;Estadio Beira-Rio;Porto Alegre ;Australia;2;3;Netherlands;42877
2014;18 Jun 2014 - 16:00 ;Group B;Estadio do Maracana;Rio De Janeiro ;Spain;0;2;Chile;74101
2014;18 Jun 2014 - 18:00 ;Group A;Arena Amazonia;Manaus ;Cameroon;0;4;Croatia;39982
2014;19 Jun 2014 - 13:00 ;Group C;Estadio Nacional;Brasilia ;Colombia;2;1;C�te d'Ivoire;68748
2014;19 Jun 2014 - 16:00 ;Group D;Arena de Sao Paulo;Sao Paulo ;Uruguay;2;1;England;62575
2014;19 Jun 2014 - 19:00 ;Group C;Estadio das Dunas;Natal ;Japan;0;0;Greece;39485
2014;20 Jun 2014 - 13:00 ;Group D;Arena Pernambuco;Recife ;Italy;0;1;Costa Rica;40285
2014;20 Jun 2014 - 16:00 ;Group E;Arena Fonte Nova;Salvador ;Switzerland;2;5;France;51003
2014;20 Jun 2014 - 19:00 ;Group E;Arena da Baixada;Curitiba ;Honduras;1;2;Ecuador;39224
2014;21 Jun 2014 - 13:00 ;Group F;Estadio Mineirao;Belo Horizonte ;Argentina;1;0;IR Iran;57698
2014;21 Jun 2014 - 16:00 ;Group G;Estadio Castelao;Fortaleza ;Germany;2;2;Ghana;59621
2014;21 Jun 2014 - 18:00 ;Group F;Arena Pantanal;Cuiaba ;Nigeria;1;0;"rn"">Bosnia and Herzegovina";40499
2014;22 Jun 2014 - 13:00 ;Group H;Estadio do Maracana;Rio De Janeiro ;Belgium;1;0;Russia;73819
2014;22 Jun 2014 - 16:00 ;Group H;Estadio Beira-Rio;Porto Alegre ;Korea Republic;2;4;Algeria;42732
2014;22 Jun 2014 - 18:00 ;Group G;Arena Amazonia;Manaus ;USA;2;2;Portugal;40123
2014;23 Jun 2014 - 13:00 ;Group B;Arena da Baixada;Curitiba ;Australia;0;3;Spain;39375
2014;23 Jun 2014 - 13:00 ;Group B;Arena de Sao Paulo;Sao Paulo ;Netherlands;2;0;Chile;62996
2014;23 Jun 2014 - 17:00 ;Group A;Estadio Nacional;Brasilia ;Cameroon;1;4;Brazil;69112
2014;23 Jun 2014 - 17:00 ;Group A;Arena Pernambuco;Recife ;Croatia;1;3;Mexico;41212
2014;24 Jun 2014 - 13:00 ;Group D;Estadio das Dunas;Natal ;Italy;0;1;Uruguay;39706
2014;24 Jun 2014 - 13:00 ;Group D;Estadio Mineirao;Belo Horizonte ;Costa Rica;0;0;England;57823
2014;24 Jun 2014 - 16:00 ;Group C;Arena Pantanal;Cuiaba ;Japan;1;4;Colombia;40340
2014;24 Jun 2014 - 17:00 ;Group C;Estadio Castelao;Fortaleza ;Greece;2;1;C�te d'Ivoire;59095
2014;25 Jun 2014 - 13:00 ;Group F;Estadio Beira-Rio;Porto Alegre ;Nigeria;2;3;Argentina;43285
2014;25 Jun 2014 - 13:00 ;Group F;Arena Fonte Nova;Salvador ;"rn"">Bosnia and Herzegovina";3;1;IR Iran;48011
2014;25 Jun 2014 - 16:00 ;Group E;Arena Amazonia;Manaus ;Honduras;0;3;Switzerland;40322
2014;25 Jun 2014 - 17:00 ;Group E;Estadio do Maracana;Rio De Janeiro ;Ecuador;0;0;France;73749
2014;26 Jun 2014 - 13:00 ;Group G;Arena Pernambuco;Recife ;USA;0;1;Germany;41876
2014;26 Jun 2014 - 13:00 ;Group G;Estadio Nacional;Brasilia ;Portugal;2;1;Ghana;67540
2014;26 Jun 2014 - 17:00 ;Group H;Arena de Sao Paulo;Sao Paulo ;Korea Republic;0;1;Belgium;61397
2014;26 Jun 2014 - 17:00 ;Group H;Arena da Baixada;Curitiba ;Algeria;1;1;Russia;39311
2014;28 Jun 2014 - 13:00 ;Round of 16;Estadio Mineirao;Belo Horizonte ;Brazil;1;1;Chile;57714
2014;28 Jun 2014 - 17:00 ;Round of 16;Estadio do Maracana;Rio De Janeiro ;Colombia;2;0;Uruguay;73804
2014;30 Jun 2014 - 13:00 ;Round of 16;Estadio Nacional;Brasilia ;France;2;0;Nigeria;67882
2014;30 Jun 2014 - 17:00 ;Round of 16;Estadio Beira-Rio;Porto Alegre ;Germany;2;1;Algeria;
2014;04 Jul 2014 - 17:00 ;Quarter-finals;Estadio Castelao;Fortaleza ;Brazil;2;1;Colombia;60342
2014;04 Jul 2014 - 13:00 ;Quarter-finals;Estadio do Maracana;Rio De Janeiro ;France;0;1;Germany;74240
2014;08 Jul 2014 - 17:00 ;Semi-finals;Estadio Mineirao;Belo Horizonte ;Brazil;1;7;Germany;58141
2014;12 Jul 2014 - 17:00 ;Play-off for third place;Estadio Nacional;Brasilia ;Brazil;0;3;Netherlands;68034
2014;13 Jul 2014 - 16:00 ;Final;Estadio do Maracana;Rio De Janeiro ;Germany;1;0;Argentina;74738
2014;09 Jul 2014 - 17:00 ;Semi-finals;Arena de Sao Paulo;Sao Paulo ;Netherlands;0;0;Argentina;63267
2014;05 Jul 2014 - 17:00 ;Quarter-finals;Arena Fonte Nova;Salvador ;Netherlands;0;0;Costa Rica;51179
2014;05 Jul 2014 - 13:00 ;Quarter-finals;Estadio Nacional;Brasilia ;Argentina;1;0;Belgium;68551
2014;29 Jun 2014 - 13:00 ;Round of 16;Estadio Castelao;Fortaleza ;Netherlands;2;1;Mexico;58817
2014;29 Jun 2014 - 17:00 ;Round of 16;Arena Pernambuco;Recife ;Costa Rica;1;1;Greece;41242
2014;01 Jul 2014 - 13:00 ;Round of 16;Arena de Sao Paulo;Sao Paulo ;Argentina;1;0;Switzerland;63255
2014;01 Jul 2014 - 17:00 ;Round of 16;Arena Fonte Nova;Salvador ;Belgium;2;1;USA;51227
2014;28 Jun 2014 - 13:00 ;Round of 16;Estadio Mineirao;Belo Horizonte ;Brazil;1;1;Chile;57714
2014;28 Jun 2014 - 17:00 ;Round of 16;Estadio do Maracana;Rio De Janeiro ;Colombia;2;0;Uruguay;73804
2014;29 Jun 2014 - 13:00 ;Round of 16;Estadio Castelao;Fortaleza ;Netherlands;2;1;Mexico;58817
2014;29 Jun 2014 - 17:00 ;Round of 16;Arena Pernambuco;Recife ;Costa Rica;1;1;Greece;41242
2014;30 Jun 2014 - 13:00 ;Round of 16;Estadio Nacional;Brasilia ;France;2;0;Nigeria;67882
2014;30 Jun 2014 - 17:00 ;Round of 16;Estadio Beira-Rio;Porto Alegre ;Germany;2;1;Algeria;
2014;01 Jul 2014 - 13:00 ;Round of 16;Arena de Sao Paulo;Sao Paulo ;Argentina;1;0;Switzerland;63255
2014;01 Jul 2014 - 17:00 ;Round of 16;Arena Fonte Nova;Salvador ;Belgium;2;1;USA;51227
2014;04 Jul 2014 - 13:00 ;Quarter-finals;Estadio do Maracana;Rio De Janeiro ;France;0;1;Germany;74240
2014;04 Jul 2014 - 17:00 ;Quarter-finals;Estadio Castelao;Fortaleza ;Brazil;2;1;Colombia;60342
2014;05 Jul 2014 - 13:00 ;Quarter-finals;Estadio Nacional;Brasilia ;Argentina;1;0;Belgium;68551
2014;05 Jul 2014 - 17:00 ;Quarter-finals;Arena Fonte Nova;Salvador ;Netherlands;0;0;Costa Rica;51179
2014;08 Jul 2014 - 17:00 ;Semi-finals;Estadio Mineirao;Belo Horizonte ;Brazil;1;7;Germany;58141
2014;09 Jul 2014 - 17:00 ;Semi-finals;Arena de Sao Paulo;Sao Paulo ;Netherlands;0;0;Argentina;63267
2014;12 Jul 2014 - 17:00 ;Play-off for third place;Estadio Nacional;Brasilia ;Brazil;0;3;Netherlands;68034
2014;13 Jul 2014 - 16:00 ;Final;Estadio do Maracana;Rio De Janeiro ;Germany;1;0;Argentina;74738
2018;14 Jun 2018 - 18:00;Group A;Luzhniki Stadium,;Moscow;Russia;5;0;Saudi Arabia;78011
2018;15 Jun 2018 - 17:00;Group A;Ekaterinburg Arena,;Ekaterinburg;Egypt;0;1;Uruguay;27015
2018;15 Jun 2018 - 18:00;Group B;Saint Petersburg Stadium,;St. Petersburg;Morocco;0;1;IR Iran;62548
2018;15 Jun 2018 - 21:00;Group B;Fisht Stadium,;Sochi;Portugal;3;3;Spain;43866
2018;16 Jun 2018 - 13:00;Group C;Kazan Arena,;Kazan;France;2;1;Australia;41279
2018;16 Jun 2018 - 16:00;Group D;Spartak Stadium,;Moscow;Argentina;1;1;Iceland;44190
2018;16 Jun 2018 - 19:00;Group C;Mordovia Arena,;Saransk;Peru;0;1;Denmark;40502
2018;16 Jun 2018 - 21:00;Group D;Kaliningrad Stadium,;Kaliningrad;Croatia;2;0;Nigeria;31136
2018;17 Jun 2018 - 16:00;Group E;Samara Arena,;Samara;Costa Rica;0;1;Serbia;41432
2018;17 Jun 2018 - 18:00;Group F;Luzhniki Stadium,;Moscow;Germany;0;1;Mexico;78011
2018;17 Jun 2018 - 21:00;Group E;Rostov Arena,;Rostov-On-Don;Brazil;1;1;Switzerland;43109
2018;18 Jun 2018 - 15:00;Group F;Nizhny Novgorod Stadium,;Nizhny Novgorod;Sweden;1;0;Korea Republic;42300
2018;18 Jun 2018 - 18:00;Group G;Fisht Stadium,;Sochi;Belgium;3;0;Panama;43257
2018;18 Jun 2018 - 21:00;Group G;Volgograd Arena,;Volgograd;Tunisia;1;2;England;41064
2018;19 Jun 2018 - 15:00;Group H;Mordovia Arena,;Saransk;Colombia;1;2;Japan;40842
2018;19 Jun 2018 - 18:00;Group H;Spartak Stadium,;Moscow;Poland;1;2;Senegal;44190
2018;19 Jun 2018 - 21:00;Group A;Saint Petersburg Stadium,;St. Petersburg;Russia;3;1;Egypt;64468
2018;20 Jun 2018 - 15:00;Group B;Luzhniki Stadium,;Moscow;Portugal;1;0;Morocco;78011
2018;20 Jun 2018 - 18:00;Group A;Rostov Arena,;Rostov-On-Don;Uruguay;1;0;Saudi Arabia;42678
2018;20 Jun 2018 - 21:00;Group B;Kazan Arena,;Kazan;IR Iran;0;1;Spain;42718
2018;21 Jun 2018 - 16:00;Group C;Samara Arena,;Samara;Denmark;1;1;Australia;40727
2018;21 Jun 2018 - 20:00;Group C;Ekaterinburg Arena,;Ekaterinburg;France;1;0;Peru;32789
2018;21 Jun 2018 - 21:00;Group D;Nizhny Novgorod Stadium,;Nizhny Novgorod;Argentina;0;3;Croatia;43319
2018;22 Jun 2018 - 15:00;Group E;Saint Petersburg Stadium,;St. Petersburg;Brazil;2;0;Costa Rica;64468
2018;22 Jun 2018 - 18:00;Group D;Volgograd Arena,;Volgograd;Nigeria;2;0;Iceland;40904
2018;22 Jun 2018 - 20:00;Group E;Kaliningrad Stadium,;Kaliningrad;Serbia;1;2;Switzerland;33167
2018;23 Jun 2018 - 15:00;Group G;Spartak Stadium,;Moscow;Belgium;5;2;Tunisia;44190
2018;23 Jun 2018 - 18:00;Group F;Rostov Arena,;Rostov-On-Don;Korea Republic;1;2;Mexico;43472
2018;23 Jun 2018 - 21:00;Group F;Fisht Stadium,;Sochi;Germany;2;1;Sweden;44287
2018;24 Jun 2018 - 15:00;Group G;Nizhny Novgorod Stadium,;Nizhny Novgorod;England;6;1;Panama;43319
2018;24 Jun 2018 - 20:00;Group H;Ekaterinburg Arena,;Ekaterinburg;Japan;2;2;Senegal;32572
2018;24 Jun 2018 - 21:00;Group H;Kazan Arena,;Kazan;Poland;0;3;Colombia;42873
2018;25 Jun 2018 - 18:00;Group A;Samara Arena,;Samara;Uruguay;3;0;Russia;41970
2018;25 Jun 2018 - 17:00;Group A;Volgograd Arena,;Volgograd;Saudi Arabia;2;1;Egypt;36823
2018;25 Jun 2018 - 20:00;Group B;Kaliningrad Stadium,;Kaliningrad;Spain;2;2;Morocco;33973
2018;25 Jun 2018 - 21:00;Group B;Mordovia Arena,;Saransk;IR Iran;1;1;Portugal;41685
2018;26 Jun 2018 - 17:00;Group C;Fisht Stadium,;Sochi;Australia;0;2;Peru;44073
2018;26 Jun 2018 - 17:00;Group C;Luzhniki Stadium,;Moscow;Denmark;0;0;France;78011
2018;26 Jun 2018 - 21:00;Group D;Saint Petersburg Stadium,;St. Petersburg;Nigeria;1;2;Argentina;64468
2018;26 Jun 2018 - 21:00;Group D;Rostov Arena,;Rostov-On-Don;Iceland;1;2;Croatia;43472
2018;27 Jun 2018 - 17:00;Group F;Kazan Arena,;Kazan;Korea Republic;2;0;Germany;41835
2018;27 Jun 2018 - 19:00;Group F;Ekaterinburg Arena,;Ekaterinburg;Mexico;0;3;Sweden;33061
2018;27 Jun 2018 - 21:00;Group E;Spartak Stadium,;Moscow;Serbia;0;2;Brazil;44190
2018;27 Jun 2018 - 21:00;Group E;Nizhny Novgorod Stadium,;Nizhny Novgorod;Switzerland;2;2;Costa Rica;43319
2018;28 Jun 2018 - 17:00;Group H;Volgograd Arena,;Volgograd;Japan;0;1;Poland;42189
2018;28 Jun 2018 - 18:00;Group H;Samara Arena,;Samara;Senegal;0;1;Colombia;41970
2018;28 Jun 2018 - 21:00;Group G;Mordovia Arena,;Saransk;Panama;1;2;Tunisia;37168
2018;28 Jun 2018 - 20:00;Group G;Kaliningrad Stadium,;Kaliningrad;England;0;1;Belgium;33973
2018;30 Jun 2018 - 17:00;Round of 16;Kazan Arena,;Kazan;France;4;3;Argentina;42873
2018;30 Jun 2018 - 21:00;Round of 16;Fisht Stadium,;Sochi;Uruguay;2;1;Portugal;44287
2018;01 Jul 2018 - 17:00;Round of 16;Luzhniki Stadium,;Moscow;Spain;1;1;Russia;78011
2018;01 Jul 2018 - 21:00;Round of 16;Nizhny Novgorod Stadium,;Nizhny Novgorod;Croatia;1;1;Denmark;40851
2018;02 Jul 2018 - 18:00;Round of 16;Samara Arena,;Samara;Brazil;2;0;Mexico;41970
2018;02 Jul 2018 - 21:00;Round of 16;Rostov Arena,;Rostov-On-Don;Belgium;3;2;Japan;41466
2018;03 Jul 2018 - 17:00;Round of 16;Saint Petersburg Stadium,;St. Petersburg;Sweden;1;0;Switzerland;64042
2018;03 Jul 2018 - 21:00;Round of 16;Spartak Stadium,;Moscow;Colombia;1;1;England;44190
2018;06 Jul 2018 - 17:00;Quarter-finals;Nizhny Novgorod Stadium,;Nizhny Novgorod;Uruguay;0;2;France;43319
2018;06 Jul 2018 - 21:00;Quarter-finals;Kazan Arena,;Kazan;Brazil;1;2;Belgium;42873
2018;07 Jul 2018 - 18:00;Quarter-finals;Samara Arena,;Samara;Sweden;0;2;England;39991
2018;07 Jul 2018 - 21:00;Quarter-finals;Fisht Stadium,;Sochi;Russia;2;2;Croatia;44287
2018;10 Jul 2018 - 21:00;Semi-finals;Saint Petersburg Stadium,;St. Petersburg;France;1;0;Belgium;64286
2018;11 Jul 2018 - 21:00;Semi-finals;Luzhniki Stadium,;Moscow;Croatia;2;1;England;78011
2018;14 Jul 2018 - 17:00;Play-off for third place;Saint Petersburg Stadium,;St. Petersburg;Belgium;2;0;England;64406
2018;15 Jul 2018 - 18:00;Final;Luzhniki Stadium,;Moscow;France;4;2;Croatia;78011
